Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
35,35.0,35.0,35.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,16.0,17.0,16.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
20,20.0,20.0,20.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
50,50.0,51.0,51.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
52,52.0,54.0,52.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
19,18.0,18.0,19.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
36,37.0,31.0,34.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
52,52.0,48.0,52.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
28,29.0,27.0,27.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
70,70.0,69.0,69.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
25,25.0,25.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
53,53.0,53.0,53.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,46.0,44.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
17,17.0,17.0,17.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
23,23.0,23.0,23.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
8,9.0,8.0,9.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
70,70.0,70.0,70.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,15.0,14.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
2,3.0,3.0,3.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
63,63.0,62.0,63.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,47.0,47.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,30.0,28.0,28.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
1,1.0,2.5,2.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
16,16.0,15.0,16.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
19,19.0,18.0,19.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
20,20.0,22.0,21.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
17,17.0,17.0,17.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
56,56.0,54.0,54.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,15.0,16.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
10,10.0,10.0,10.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,15.0,15.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
37,37.0,37.0,37.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
49,49.0,50.0,49.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
68,68.0,68.0,67.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
35,35.0,35.0,35.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,15.0,16.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
39,39.0,40.0,37.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
14,14.0,15.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
28,28.0,27.0,27.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
34,33.0,32.0,31.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
1,1.0,3.0,4.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
11,12.0,10.0,11.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
45,44.0,45.0,46.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
8,9.0,8.0,9.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
6,7.0,7.0,7.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
67,68.0,67.0,67.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
41,41.0,39.0,40.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
32,32.0,31.0,31.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,30.0,30.0,29.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
60,60.0,64.0,61.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
36,37.0,41.0,39.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
25,25.0,25.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
57,57.0,57.0,57.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,49.0,49.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
70,70.0,70.0,70.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
43,43.0,44.0,44.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
8,8.0,8.0,9.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,14.0,10.0,13.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
18,18.0,18.0,18.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
26,26.0,25.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
43,42.5,44.0,42.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
63,63.0,61.0,62.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
40,40.0,41.0,41.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
36,36.0,35.0,36.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
41,41.0,41.0,42.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
17,17.0,18.0,17.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
7,7.0,8.0,7.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,30.0,32.0,31.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
46,46.0,46.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
64,64.0,63.0,63.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
42,43.0,36.0,41.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
10,10.0,10.0,10.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
10,9.0,9.0,10.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
8,8.0,5.0,7.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
44,44.0,44.0,44.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
41,40.0,41.0,41.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
60,60.0,61.0,60.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
9,10.0,10.0,10.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
