Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
34,35.0,31.0,32.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
55,55.0,57.0,55.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
22,22.0,22.0,22.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
66,66.0,66.0,66.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
18,17.0,17.0,17.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,47.0,46.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
49,48.0,49.0,50.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
32,32.0,31.0,29.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
26,26.0,26.0,26.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
53,53.0,53.0,53.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
25,25.0,26.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
4,4.0,3.0,4.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
3,3.0,4.0,3.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
68,68.0,68.0,68.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
28,29.0,28.0,27.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
66,66.0,66.0,65.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,29.0,28.0,28.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
10,10.0,9.0,10.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
55,54.0,51.0,54.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
43,43.0,42.0,43.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
59,60.0,59.0,59.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
0,0.5,64.0,68.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
65,65.0,65.0,65.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
21,21.0,20.0,21.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
49,49.0,50.0,50.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
34,34.0,33.0,34.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
25,25.0,25.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
25,25.0,25.0,25.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
52,52.0,52.0,52.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,29.0,28.0,28.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
5,5.0,5.0,6.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
15,15.0,16.0,15.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,47.0,47.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
18,18.0,18.0,18.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
46,46.0,49.5,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
57,57.0,57.0,57.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
42,42.0,42.0,42.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
45,45.0,44.0,46.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
62,62.0,62.0,62.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
63,63.0,63.0,63.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
47,47.0,44.0,46.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
22,22.0,23.0,22.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
26,26.0,25.0,26.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
61,62.0,62.0,61.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
65,66.0,60.0,62.5,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
60,60.0,59.0,59.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
1,1.0,1.0,1.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
46,45.0,47.0,46.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
63,63.0,63.0,63.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
59,59.0,60.0,59.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
46,46.0,47.0,47.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
3,3.0,3.0,3.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
41,40.0,35.0,39.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
65,65.0,65.0,65.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
24,24.0,25.0,24.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
29,29.0,29.0,29.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
7,7.0,7.0,7.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
55,55.0,55.0,55.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
45,45.0,44.0,45.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
24,24.0,24.0,23.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
27,27.0,27.0,26.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
32,31.0,29.0,30.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
71,71.0,70.0,70.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
43,43.0,44.0,44.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
70,69.0,8.5,67.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
64,64.0,64.0,64.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
27,27.0,21.0,26.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
3,4.0,66.0,3.0,"tensor([[1.]], dtype=torch.float64)",tensor([[20.]]),['s']
